"10NY000WUS","https://www.cdw.com/shop/products/LVO-TC-M810Z-I7-6700-256GB-8GB-W7P/4855052.aspx?pfm=srh","LVO TC M810Z I7-6700 256GB 8GB W7P (","Lenovo","4855052","All-in-onewith UltraFlex II Stand1 x Core i7 6700 / 3.4 GHzRAM 8 GBSSD 256 GBNVMeDVD-Writer","$1,225.99","$1,039.99","https://webobjects2.cdw.com/is/image/CDW/4606721?$product-main$","10NY000WUS.jpg","10 in","19.3 in","18.3 lbs","21.1 in"
"NX.EF3AA.003","https://www.cdw.com/shop/products/ACER-C910-15-3205U-16GB-4GB-CHROME/4794424.aspx?pfm=srh","ACER C910 15 3205U 16GB 4GB CHROME (","Acer","4794424","Celeron 3205U / 1.5 GHzChrome OS4 GB RAM16 GB SSD15.6"" 1366 x 768 (HD)HD GraphicsWi-Fi","Call","$154.99","https://webobjects2.cdw.com/is/image/CDW/3601020?$product-main$","NX.EF3AA.003.jpg","10.1 in","1 in","4.85 lbs","15.5 in"
"NX.G55AA.011","https://www.cdw.com/shop/products/ACER-C738T-11-N3060-16GB-4GB-CHROME/4853392.aspx?pfm=srh","ACER C738T 11 N3060 16GB 4GB CHROME","Acer","4853392","Flip designCeleron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC TLC11.6"" IPS touchscreen 1366 x 768 (HD)HD Graphics 400","$329.99","$288.99","https://webobjects2.cdw.com/is/image/CDW/4402763?$product-main$","NX.G55AA.011.jpg","8 in","0.8 in","2.76 lbs","11.6 in"
"80US0000US","https://www.cdw.com/shop/products/LVO-N42-N3060-16GB-4GB-CHROME-BSTK/4812779.aspx?pfm=srh","LVO N42 N3060 16GB 4GB CHROME (BSTK)","Lenovo","4812779","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC14"" 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$165.99","https://webobjects2.cdw.com/is/image/CDW/4121400?$product-main$","80US0000US.jpg","9.1 in","0.9 in","3.31 lbs","13.1 in"
"2TD13US#ABA","https://www.cdw.com/shop/products/HP-800-G3-I5-7500-500GB-8GB-BSTK/4816802.aspx?pfm=srh","HP 800 G3 I5-7500 500GB 8GB (BSTK)","HP Inc","4816802","null","$1,387.99","$529.99","https://webobjects2.cdw.com/is/image/CDW/4735690?$product-main$","2TD13US#ABA.jpg","null","null","null","null"
"XN8KF","https://www.cdw.com/shop/products/DELL-3580-I3-7100U-500GB-4GB-W10P-B/4856712.aspx?pfm=srh","DELL 3580 I3-7100U 500GB 4GB W10P (B","Dell","4856712","Core i3 7100U / 2.4 GHzWin 10 Pro 64-bit4 GB RAM500 GB HDD15.6"" 1366 x 768 (HD)HD Graphics 620Wi-Fi","$537.99","$466.99","https://webobjects2.cdw.com/is/image/CDW/4524818?$product-main$","XN8KF.jpg","10 in","0.9 in","4.3 lbs","14.9 in"
"1FY44UT#ABA","https://www.cdw.com/shop/products/HP-SB-600-G3-I5-7500T-500GB-4GB-W10P/4814562.aspx?pfm=srh","HP SB 600 G3 I5-7500T 500GB 4GB W10P","HP Inc","4814562","Mini desktop1 x Core i5 7500T / 2.7 GHzRAM 4 GBHDD 500 GBHD Graphics 630GigEWLAN: 802.11a/b/g/n/ac","$718.99","$528.00","https://webobjects2.cdw.com/is/image/CDW/4464579?$product-main$","1FY44UT#ABA.jpg","6.9 in","1.3 in","2.67 lbs","7 in"
"P4K08UT#ABA","https://www.cdw.com/shop/products/HP-SB-800-G2-I7-6700-1TB-8GB-W710-B/4834803.aspx?pfm=srh","HP SB 800 G2 I7-6700 1TB 8GB W710 (B","HP Inc","4834803","SFF1 x Core i7 6700 / 3.4 GHzRAM 8 GBHDD 1 TBDVD SuperMultiHD Graphics 530GigE","Call","$862.99","https://webobjects2.cdw.com/is/image/CDW/3845319?$product-main$","P4K08UT#ABA.jpg","14.9 in","3.9 in","16.75 lbs","13.3 in"
"X9U25UT#ABA","https://www.cdw.com/shop/products/HP-SB-840-G3-I7-6600U-256GB-8GB-W710/4818577.aspx?pfm=srh","HP SB 840 G3 I7-6600U 256GB 8GB W710","HP Inc","4818577","UltrabookCore i7 6600U / 2.6 GHzWin 7 Pro 64-bit (includes Win 10 Pro 64-bit License)8 GB RAM256 GB SSD SEDTCG Opal Encryption 2","$1,814.99","$1,249.99","https://webobjects2.cdw.com/is/image/CDW/4277801?$product-main$","X9U25UT#ABA.jpg","9.3 in","0.7 in","2.82 lbs","13.3 in"
"80YS0003US","https://www.cdw.com/shop/products/LVO-TP-N23-N3060-16GB-4GB-CHROME-BS/4831694.aspx?pfm=srh","LVO TP N23 N3060 16GB 4GB CHROME (BS","Lenovo","4831694","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" TN 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$167.99","https://webobjects2.cdw.com/is/image/CDW/4439334?$product-main$","80YS0003US.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
"20ENCTO1WW-4247126747","https://www.cdw.com/shop/products/P50-Laptop-ThinkPad/4785359.aspx?pfm=srh","P50 Laptop (ThinkPad)","Lenovo","4785359","null","Call","$1,463.99","https://webobjects2.cdw.com/is/image/CDW/4311094?$product-main$","20ENCTO1WW-4247126747.jpg","null","null","null","null"
