"R9861510NA","https://www.cdw.com/shop/products/BARCO-CLICKSHARE-CS-100-SET-BSTK/4835649.aspx?pfm=srh","BARCO CLICKSHARE CS-100 SET (BSTK)","Barco","4835649","Wireless video/audio extender802.11b802.11a802.11g802.11n","$999.99","$835.99","https://webobjects2.cdw.com/is/image/CDW/3986642?$product-main$","R9861510NA.jpg","4.3 in","1.6 in","21.16 oz","7.9 in"
"400-ALRR","https://www.cdw.com/shop/products/DELL-2TB-7.2K-SAS-12G-512N-3.5IN-HDD/4823971.aspx?pfm=srh","DELL 2TB 7.2K SAS 12G 512N 3.5IN HDD","Dell","4823971","Hard drive2 TBhot-swap3.5""SAS 12Gb/sNL7200 rpm","$248.99","$162.99","https://webobjects2.cdw.com/is/image/CDW/4309754?$product-main$","400-ALRR.jpg","null","null","null","null"
"E394454","https://www.cdw.com/shop/products/ELO-1523L-15in-LCD-MULTI-TOUCH-BSTK/4840572.aspx?pfm=srh","ELO 1523L 15"" LCD MULTI TOUCH (BSTK)","Elo","4840572","LED monitor15""touchscreen1024 x 768225 cd/m²700:125 ms","$514.99","$442.99","https://webobjects2.cdw.com/is/image/CDW/3012356?$product-main$","E394454.jpg","12.5 in","7.8 in","5.8 lbs","14.1 in"
"UM.WH6AA.002","https://www.cdw.com/shop/products/ACER-H226HQL-BID-21.5IN-LED-BSTK/4833863.aspx?pfm=srh","ACER H226HQL-BID 21.5IN LED (BSTK)","Acer","4833863","LED monitor21.5""1920 x 1080 Full HD (1080p)IPS250 cd/m²5 msHDMI","Call","$73.99","https://webobjects2.cdw.com/is/image/CDW/2920164?$product-main$","UM.WH6AA.002.jpg","6.8 in","15.2 in","5.6 lbs","19.6 in"
"HL-L2340DW","https://www.cdw.com/shop/products/BROTHER-HL-L2340DW-LASER-PRINTER-BS/4844282.aspx?pfm=srh","BROTHER HL-L2340DW LASER PRINTER (BS","Brother","4844282","PrinterMonochromeDuplexLaserA4/LegalResolution: 2400 x 600 dpiUp to 27 ppm (printing)","$112.99","$105.99","https://webobjects2.cdw.com/is/image/CDW/3452845?$product-main$","HL-L2340DW.jpg","14.2 in","7.2 in","15.21 lbs","14 in"
"E6B67A#BGJ","https://www.cdw.com/shop/products/HP-LASERJET-ENTERPRISE-M604N-BSTK/4848108.aspx?pfm=srh","HP LASERJET ENTERPRISE M604N (BSTK)","HP Inc","4848108","PrintermonochromelaserA4/Legal1200 x 1200 dpiup to 52 ppmcapacity: 600 sheets","Call","$636.99","https://webobjects2.cdw.com/is/image/CDW/3626619?$product-main$","E6B67A#BGJ.jpg","17.8 in","15.7 in","49.82 lbs","16.7 in"
"PJD6252L","https://www.cdw.com/shop/products/VIEWSONIC-PJD6252L-LS-XGA-DLP-3300L/4802604.aspx?pfm=srh","VIEWSONIC PJD6252L LS XGA DLP 3300L","ViewSonic","4802604","DLP projectorportable3D3300 lumensXGA (1024 x 768)4:3LAN","$429.99","$251.99","https://webobjects2.cdw.com/is/image/CDW/4100607?$product-main$","PJD6252L.jpg","9 in","4.1 in","5.51 lbs","12.4 in"
"PT60MB-2C15SM3-G15","https://www.cdw.com/shop/products/POWERTECH-AG60-SERIES-5-IN-1-ANTENNA/4841894.aspx?pfm=srh","POWERTECH AG60 SERIES 5-IN-1 ANTENNA","PowerTech Antennas","4841894","AntennanavigationcellularWi-Fiomni-directionalblack","$221.99","$192.99","https://webobjects2.cdw.com/is/image/CDW/4055047?$product-main$","PT60MB-2C15SM3-G15.jpg","null","null","null","null"
"UM.IV6AA.A02","https://www.cdw.com/shop/products/ACER-V206HQL-ABD-20IN-LED-WIDE-BSTK/4849514.aspx?pfm=srh","ACER V206HQL ABD 20IN LED WIDE (BSTK","Acer","4849514","LED monitor20"" ( 19.5"" viewable )1600 x 900TN200 cd/m25 msDVI","$78.99","$69.99","https://webobjects2.cdw.com/is/image/CDW/3051875?$product-main$","UM.IV6AA.A02.jpg","2 in","10.9 in","6.4 lbs","18.2 in"
"3000015381619","https://www.cdw.com/shop/products/HPG-LAT-5289-I5-128GB-8GB-LIFEPOINT/4828892.aspx?pfm=srh","HPG LAT 5289 I5 128GB 8GB-LIFEPOINT","Dell","4828892","null","Call","$979.99","https://webobjects2.cdw.com/is/image/CDW/4708294?$product-main$","3000015381619.jpg","null","null","null","null"
