"633808929800","https://www.cdw.com/shop/products/WASP-WLS8600-INDUST-BARCODE-SCAN-USB/4795156.aspx?pfm=srh","WASP WLS8600 INDUST BARCODE SCAN USB","Wasp Bar Code","4795156","Cordless laser scannerLightweight rugged enclosureReads common one-dimensional (1D) barcodes3-key keypad with graphic backlit displayIP64 water and particulate sealing ratingIncludes a 2-year manufacturer’s warranty covering material defects.","Call","$292.99","https://webobjects2.cdw.com/is/image/CDW/3301016?$product-main$","633808929800.jpg","4.5 in","8.1 in","10.4 oz","3 mil"
"M5R73AT#ABA","https://www.cdw.com/shop/products/HP-SB-T420-GX-209JA-8GB-2GB-BSTK/4791890.aspx?pfm=srh","HP SB T420 GX-209JA 8GB 2GB (BSTK)","HP Inc","4791890","Thin clientcompact desktop1 x GX-209JA 1 GHzRAM 2 GBflash 8 GBGigEHP ThinPro 32-bit","$245.99","$136.99","https://webobjects2.cdw.com/is/image/CDW/3809698?$product-main$","M5R73AT#ABA.jpg","5.5 in","1.4 in","26.1 oz","7.1 in"
"A8P79A#BGJ","https://www.cdw.com/shop/products/HP-LASERJET-PRO-MFP-M521DN-BSTK/4806177.aspx?pfm=srh","HP LASERJET PRO MFP M521DN (BSTK)","HP Inc","4806177","HP LaserJet Pro MFP M521dn; HP LaserJet Black introductory cartridge (~6000 pages); Printer documentation and software on CD-ROM; Installation guideup to 42 ppmSupport flyerWarranty Card","$719.99","$401.99","https://webobjects2.cdw.com/is/image/CDW/2991233?$product-main$","A8P79A#BGJ.jpg","8-bit","20 in","120 g/m²","18.3 in"
"J9779A#ABA","https://www.cdw.com/shop/products/ARUBA-2530-24-POE-BSTK/4844076.aspx?pfm=srh","ARUBA 2530 24 POE+ (BSTK)","Aruba","4844076","Switchmanaged24 x 10/100 (PoE+) + 2 x Gigabit SFP + 2 x 10/100/1000desktoprack-mountablewall-mountable","$875.99","$661.99","https://webobjects2.cdw.com/is/image/CDW/4361352?$product-main$","J9779A#ABA.jpg","12.7 in","1.8 in","8.4 lbs","17.4 in"
"94A150058","https://www.cdw.com/shop/products/DATALOGIC-SINGLE-SLOT-MEMOR-X3-BSTK/4827987.aspx?pfm=srh","DATALOGIC SINGLE SLOT MEMOR X3 (BSTK","Datalogic","4827987","Docking cradlefor Memor X3","$121.99","$74.99","https://webobjects2.cdw.com/is/image/CDW/3570564?$product-main$","94A150058.jpg","null","null","null","null"
"ZD50042-T01200FZ","https://www.cdw.com/shop/products/ZEBRA-ZD500-TT-203DPI-US-CORD-BSTK/4806147.aspx?pfm=srh","ZEBRA ZD500 TT 203DPI US CORD (BSTK)","Zebra","4806147","Label printerDT/TTRoll (4.25 in)203 dpiup to 359.1 inch/minparallelUSB 2.0","$597.00","$337.99","https://webobjects2.cdw.com/is/image/CDW/3747396?$product-main$","ZD50042-T01200FZ.jpg","10 in","7.5 in","4.85 lbs","4.09 in"
"846524-B21","https://www.cdw.com/shop/products/HP-1TB-12G-SAS-7.2K-3.5-MDL-SC-HDD/4849180.aspx?pfm=srh","HP 1TB 12G SAS 7.2K 3.5 MDL SC HDD (","Hewlett Packard Enterpris","4849180","Hard drive1 TBhot-swap3.5"" LFFSAS 12Gb/s7200 rpmwith HP SmartDrive carrier","$314.99","$257.99","https://webobjects2.cdw.com/is/image/CDW/4309171?$product-main$","846524-B21.jpg","null","null","null","null"
"1400G1D-2USB-1","https://www.cdw.com/shop/products/HONEYWELL-VOYAGER-1400G-USB-KIT-STND/4834002.aspx?pfm=srh","HONEYWELL VOYAGER 1400G USB KIT+STND","Honeywell","4834002","Barcode scannerhandhelddecodedUSB","$165.00","$75.99","https://webobjects2.cdw.com/is/image/CDW/2750641?$product-main$","1400G1D-2USB-1.jpg","1.7 in","2.6 in","4.2 oz","6.6 in"
"PA328Q","https://www.cdw.com/shop/products/ASUS-LED-PA328-Q-32in-WIDE-4K-UHD-BS/4840676.aspx?pfm=srh","ASUS LED PA328 Q 32"" WIDE 4K/UHD (BS","Asus","4840676","LCD monitor32""3840 x 2160 4K UHD (2160p)IPS350 cd/m²1000:16 ms","$1,023.99","$871.99","https://webobjects2.cdw.com/is/image/CDW/3817606?$product-main$","PA328Q.jpg","9.4 in","24.2 in","25.75 lbs","28.9 in"
"801884-B21","https://www.cdw.com/shop/products/HP-2TB-6G-SATA-3.5IN-NHP-MDL-HDD-BS/4835301.aspx?pfm=srh","HP 2TB 6G SATA 3.5IN NHP MDL HDD (BS","Hewlett Packard Enterpris","4835301","Hard drive2 TBinternal3.5"" LFFSATA 6Gb/s7200 rpm","$239.99","$195.99","https://webobjects2.cdw.com/is/image/CDW/3697060?$product-main$","801884-B21.jpg","5.8 in","1 in","3 lbs","4 in"
"700759-B21","https://www.cdw.com/shop/products/HP-FLEXFABRIC-10GB-2P-533FLR-T-ADPTR/4817209.aspx?pfm=srh","HP FLEXFABRIC 10GB 2P 533FLR-T ADPTR","Hewlett Packard Enterpris","4817209","Network adapterPCIe 2.0 x810Gb Ethernet x 2for Apollo 4520 Gen9; ProLiant DL360 Gen10DL380 Gen10DL560 Gen10; StoreEasy 3850","$519.99","$343.99","https://webobjects2.cdw.com/is/image/CDW/3148424?$product-main$","700759-B21.jpg","null","null","null","null"
