"C11CD16201","https://www.cdw.com/shop/products/EPSON-WORKFORCE-WF-3640-ALL-IN-ONE/4803997.aspx?pfm=srh","EPSON WORKFORCE WF-3640 ALL IN ONE (","Epson","4803997","Multifunction PrinterColorInk-jetA4/Legal (media)up to 17 cpm (copying)up to 10 ppm (color)up to 19 ppm (black)","Call","$55.99","https://webobjects2.cdw.com/is/image/CDW/3397159?$product-main$","C11CD16201.jpg","48 bit","12.1 in","25.35 lbs","17.7 in"
"6510/DNI","https://www.cdw.com/shop/products/XEROX-PHASER-6510-COLOR-PRINT-30PPM/4846220.aspx?pfm=srh","XEROX PHASER 6510 COLOR PRINT 30PPM","Xerox","4846220","PrintercolorDuplexlaserA4/Legal1200 x 2400 dpiup to 30 ppm (mono) / up to 30 ppm (color)","$299.00","$238.99","https://webobjects2.cdw.com/is/image/CDW/4363988?$product-main$","6510/DNI.jpg","19 in","13.7 in","52.47 lbs","16.5 in"
"AER1650LPE-VZ","https://www.cdw.com/shop/products/CRADLEPNT-1650-ROUTER-VZW-NO-WIFI/4842620.aspx?pfm=srh","CRADLEPNT 1650 ROUTER VZW, NO WIFI (","Cradlepoint","4842620","RouterWWANGigErack-mountable Verizon Wireless","$699.99","$492.99","https://webobjects2.cdw.com/is/image/CDW/3900927?$product-main$","AER1650LPE-VZ.jpg","6.6 in","1.7 in","20.46 oz","8.3 in"
"LSC1S-UTDJ-L6BA","https://www.cdw.com/shop/products/QUANTUM-SCALAR-I40-I80-TAPE-DRV-MOD/4743591.aspx?pfm=srh","QUANTUM SCALAR I40/I80 TAPE DRV MOD","Quantum","4743591","Tape library drive moduleLTO Ultrium (2.5 TB / 6.25 TB)Ultrium 68Gb Fibre Channelplug-in module","$8,571.99","$2,269.99","https://webobjects2.cdw.com/is/image/CDW/3451216?$product-main$","LSC1S-UTDJ-L6BA.jpg","null","null","null","null"
"2200-17821-001","https://www.cdw.com/shop/products/POLYCOM-VVX-D60-BASE-STATION-BSTK/4802547.aspx?pfm=srh","POLYCOM VVX D60 BASE STATION (BSTK)","Polycom","4802547","Cordless VoIP phoneDECTSIPSDP4 lines","$167.00","$102.99","https://webobjects2.cdw.com/is/image/CDW/3940546?$product-main$","2200-17821-001.jpg","1 in","6.7 in","4.2 oz","2 in"
"872479-B21","https://www.cdw.com/shop/products/HP-1.2TB-SAS-10K-SFF-SC-DS-HDD-BSTK/4771055.aspx?pfm=srh","HP 1.2TB SAS 10K SFF SC DS HDD (BSTK","Hewlett Packard Enterpris","4771055","Hard drive1.2 TBhot-swap2.5"" SFFSAS 12Gb/s10000 rpmwith HPE SmartDrive carrier","$707.99","$237.99","https://webobjects2.cdw.com/is/image/CDW/4503487?$product-main$","872479-B21.jpg","null","null","null","null"
"7200-23450-001","https://www.cdw.com/shop/products/POLYCOM-REALPRESENCE-TRIO-8800-COLLB/4843300.aspx?pfm=srh","POLYCOM REALPRESENCE TRIO 8800 COLLB","Polycom","4843300","Video conferencing kitwith Trio Visual+Logitech C930e and 1 year Partner Premier","Call","$1,431.99","https://webobjects2.cdw.com/is/image/CDW/3870891?$product-main$","7200-23450-001.jpg","15.1 in","13.1 in","33.5 oz","3 in"
"ZD41022-D01M00EZ","https://www.cdw.com/shop/products/ZEBRA-ZD410-DT-2in-203-DPI-USB-BT-BS/4841853.aspx?pfm=srh","ZEBRA ZD410 DT 2"" 203 DPI USB/BT (BS","Zebra","4841853","Label printerthermal paperRoll (2.35 in)203 dpiup to 359.1 inch/minUSB 2.0USB host","$237.00","$209.99","https://webobjects2.cdw.com/is/image/CDW/4000537?$product-main$","ZD41022-D01M00EZ.jpg","8.7 in","5.9 in","2.2 lbs","4.5 in"
"CF389AR#BGJ","https://www.cdw.com/shop/products/HP-RECERT-COLOR-LASERJET-PRO-M452DN/4784877.aspx?pfm=srh","HP RECERT COLOR LASERJET PRO M452DN","HP Inc","4784877","PrintercolorDuplexlaserA4/Legal38400 x 600 dpiup to 28 ppm (mono) / up to 28 ppm (color)","$269.99","$157.99","https://webobjects2.cdw.com/is/image/CDW/3808157?$product-main$","CF389AR#BGJ.jpg","18.5 in","11.6 in","41.67 lbs","16.2 in"
"GX42-102411-000","https://www.cdw.com/shop/products/ZEBRA-GX420T-DT-TT-203-SER-USB-ENET/4786360.aspx?pfm=srh","ZEBRA GX420T DT/TT 203 SER/USB/ENET","Zebra","4786360","Label printerDT/TTRoll (4.25 in)203 dpiup to 359.1 inch/minUSBLAN","$587.40","$265.99","https://webobjects2.cdw.com/is/image/CDW/2544080?$product-main$","GX42-102411-000.jpg","10 in","7.5 in","4.63 lbs","4.09 in"
"39516","https://www.cdw.com/shop/products/C2G-CISCO-SFP-10G-SR-MMF-TRANSCEIVER/4818885.aspx?pfm=srh","C2G CISCO SFP-10G-SR MMF TRANSCEIVER","C2G","4818885","Functionally identical to Cisco SFP-10G-SRLC ports designed for use with Multimode FiberIncludes Digital Optical Monitoring (DOM)850nm wavelength signalingSupports up to 300 meters of cablingGBIC","$279.99","$178.99","https://webobjects2.cdw.com/is/image/CDW/3276322?$product-main$","39516.jpg","null","null","null","null"
